schema_version,metric,system_or_contrast,statistic,point_estimate,confidence_level,ci_low,ci_high,method,resampling_unit,requested_replicates,valid_replicates,seed
phase06-bootstrap-interval-v1,rouge_l_f1,k10_minus_k5,mean_difference,0.007129825807797376,0.95,-0.009735581327394442,0.024315599594506163,question_id_cluster_percentile_bootstrap,question_id,5000,5000,42
phase06-bootstrap-interval-v1,rouge_l_f1,k10_minus_k5,median_difference,0.0,0.95,-0.0038297245544262754,0.002686202686202649,question_id_cluster_percentile_bootstrap,question_id,5000,5000,42
phase06-bootstrap-interval-v1,rouge_l_f1,k10_minus_k5,rank_biserial,0.04036557501904037,0.95,-0.20593614410680963,0.2784202569916854,question_id_cluster_percentile_bootstrap,question_id,5000,5000,42
phase06-bootstrap-interval-v1,bertscore_f1,k10_minus_k5,mean_difference,0.00040371431393569775,0.95,-0.0031274288390459636,0.004014807788843516,question_id_cluster_percentile_bootstrap,question_id,5000,5000,42
phase06-bootstrap-interval-v1,bertscore_f1,k10_minus_k5,median_difference,0.0,0.95,-0.001640915870666504,0.00020962953567504883,question_id_cluster_percentile_bootstrap,question_id,5000,5000,42
phase06-bootstrap-interval-v1,bertscore_f1,k10_minus_k5,rank_biserial,-0.009595959595959595,0.95,-0.2512170564343541,0.23394593525617607,question_id_cluster_percentile_bootstrap,question_id,5000,5000,42
phase06-bootstrap-interval-v1,unsupported_claim_rate,k10_minus_k5,mean_difference,-0.024179334655210393,0.95,-0.0987234706616729,0.05111414041271938,question_id_cluster_percentile_bootstrap,question_id,5000,5000,42
phase06-bootstrap-interval-v1,unsupported_claim_rate,k10_minus_k5,median_difference,0.0,0.95,0.0,0.0,question_id_cluster_percentile_bootstrap,question_id,5000,5000,42
phase06-bootstrap-interval-v1,unsupported_claim_rate,k10_minus_k5,rank_biserial,-0.16704805491990846,0.95,-0.4611980170663377,0.12599791097541357,question_id_cluster_percentile_bootstrap,question_id,5000,5000,42
phase06-bootstrap-interval-v1,mean_claim_support_score,k10_minus_k5,mean_difference,-0.03426896506473279,0.95,-0.08741570346990847,0.017998256200179304,question_id_cluster_percentile_bootstrap,question_id,5000,5000,42
phase06-bootstrap-interval-v1,mean_claim_support_score,k10_minus_k5,median_difference,-0.0069626569747924805,0.95,-0.03446207940578461,0.0038730227388441563,question_id_cluster_percentile_bootstrap,question_id,5000,5000,42
phase06-bootstrap-interval-v1,mean_claim_support_score,k10_minus_k5,rank_biserial,-0.14085213032581453,0.95,-0.37272130576754775,0.09904821577753864,question_id_cluster_percentile_bootstrap,question_id,5000,5000,42
phase06-bootstrap-interval-v1,output_token_count,k10_minus_k5,mean_difference,-1.9101123595505618,0.95,-7.168539325842697,3.539325842696629,question_id_cluster_percentile_bootstrap,question_id,5000,5000,42
phase06-bootstrap-interval-v1,output_token_count,k10_minus_k5,median_difference,0.0,0.95,-3.0,0.0,question_id_cluster_percentile_bootstrap,question_id,5000,5000,42
phase06-bootstrap-interval-v1,output_token_count,k10_minus_k5,rank_biserial,-0.18905872888173772,0.95,-0.4423602497546346,0.061420685101041435,question_id_cluster_percentile_bootstrap,question_id,5000,5000,42
phase06-bootstrap-interval-v1,fully_supported_response,k10_minus_k5,paired_risk_difference,0.011235955056179775,0.95,-0.0898876404494382,0.11235955056179775,question_id_cluster_percentile_bootstrap,question_id,5000,5000,42
phase06-bootstrap-interval-v1,response_contains_unsupported_claim,k10_minus_k5,paired_risk_difference,-0.011235955056179775,0.95,-0.11235955056179775,0.0898876404494382,question_id_cluster_percentile_bootstrap,question_id,5000,5000,42
phase06-bootstrap-interval-v1,rouge_l_f1,k5_sufficient_minus_insufficient,sufficient_mean,0.21586775522423743,0.95,0.18826359773331602,0.24474406940656623,question_id_cluster_percentile_bootstrap,question_id,5000,5000,42
phase06-bootstrap-interval-v1,rouge_l_f1,k5_sufficient_minus_insufficient,insufficient_mean,0.16527773484992273,0.95,0.13956257726940616,0.19348127598229356,question_id_cluster_percentile_bootstrap,question_id,5000,5000,42
phase06-bootstrap-interval-v1,rouge_l_f1,k5_sufficient_minus_insufficient,mean_difference,0.050590020374314704,0.95,0.012579900056981827,0.08874499670168068,question_id_cluster_percentile_bootstrap,question_id,5000,5000,42
phase06-bootstrap-interval-v1,rouge_l_f1,k5_sufficient_minus_insufficient,sufficient_median,0.22556390977443605,0.95,0.1794871794871795,0.25531914893617025,question_id_cluster_percentile_bootstrap,question_id,5000,5000,42
phase06-bootstrap-interval-v1,rouge_l_f1,k5_sufficient_minus_insufficient,insufficient_median,0.14010339087006046,0.95,0.12080536912751678,0.18556238311140208,question_id_cluster_percentile_bootstrap,question_id,5000,5000,42
phase06-bootstrap-interval-v1,rouge_l_f1,k5_sufficient_minus_insufficient,median_difference,0.08546051890437559,0.95,0.025801801801801805,0.1125576713362973,question_id_cluster_percentile_bootstrap,question_id,5000,5000,42
phase06-bootstrap-interval-v1,rouge_l_f1,k5_sufficient_minus_insufficient,cliffs_delta,0.34397163120567376,0.95,0.11248647275259488,0.5610324214792298,question_id_cluster_percentile_bootstrap,question_id,5000,5000,42
phase06-bootstrap-interval-v1,bertscore_f1,k5_sufficient_minus_insufficient,sufficient_mean,0.8947618438842448,0.95,0.8875756240121634,0.9019740649892224,question_id_cluster_percentile_bootstrap,question_id,5000,5000,42
phase06-bootstrap-interval-v1,bertscore_f1,k5_sufficient_minus_insufficient,insufficient_mean,0.8792840185619536,0.95,0.8726685025160255,0.886123003140092,question_id_cluster_percentile_bootstrap,question_id,5000,5000,42
phase06-bootstrap-interval-v1,bertscore_f1,k5_sufficient_minus_insufficient,mean_difference,0.01547782532229125,0.95,0.005621447196650904,0.02522623808013207,question_id_cluster_percentile_bootstrap,question_id,5000,5000,42
phase06-bootstrap-interval-v1,bertscore_f1,k5_sufficient_minus_insufficient,sufficient_median,0.8943021297454834,0.95,0.8850909769535065,0.9067031741142273,question_id_cluster_percentile_bootstrap,question_id,5000,5000,42
phase06-bootstrap-interval-v1,bertscore_f1,k5_sufficient_minus_insufficient,insufficient_median,0.8726257979869843,0.95,0.8685383200645447,0.886520504951477,question_id_cluster_percentile_bootstrap,question_id,5000,5000,42
phase06-bootstrap-interval-v1,bertscore_f1,k5_sufficient_minus_insufficient,median_difference,0.021676331758499146,0.95,0.005192220211029053,0.03443469107151029,question_id_cluster_percentile_bootstrap,question_id,5000,5000,42
phase06-bootstrap-interval-v1,bertscore_f1,k5_sufficient_minus_insufficient,cliffs_delta,0.3667679837892604,0.95,0.13880373425966133,0.5862828956357773,question_id_cluster_percentile_bootstrap,question_id,5000,5000,42
phase06-bootstrap-interval-v1,unsupported_claim_rate,k5_sufficient_minus_insufficient,sufficient_mean,0.2077249339452093,0.95,0.13243658574540926,0.2896241830065359,question_id_cluster_percentile_bootstrap,question_id,5000,5000,42
phase06-bootstrap-interval-v1,unsupported_claim_rate,k5_sufficient_minus_insufficient,insufficient_mean,0.40595238095238095,0.95,0.29242266414141416,0.5197389165481271,question_id_cluster_percentile_bootstrap,question_id,5000,5000,42
phase06-bootstrap-interval-v1,unsupported_claim_rate,k5_sufficient_minus_insufficient,mean_difference,-0.19822744700717165,0.95,-0.33673030763957074,-0.06097080403313877,question_id_cluster_percentile_bootstrap,question_id,5000,5000,42
phase06-bootstrap-interval-v1,unsupported_claim_rate,k5_sufficient_minus_insufficient,sufficient_median,0.0,0.95,0.0,0.25,question_id_cluster_percentile_bootstrap,question_id,5000,5000,42
phase06-bootstrap-interval-v1,unsupported_claim_rate,k5_sufficient_minus_insufficient,insufficient_median,0.3666666666666667,0.95,0.0,0.5,question_id_cluster_percentile_bootstrap,question_id,5000,5000,42
phase06-bootstrap-interval-v1,unsupported_claim_rate,k5_sufficient_minus_insufficient,median_difference,-0.3666666666666667,0.95,-0.5,0.0,question_id_cluster_percentile_bootstrap,question_id,5000,5000,42
phase06-bootstrap-interval-v1,unsupported_claim_rate,k5_sufficient_minus_insufficient,cliffs_delta,-0.27912867274569403,0.95,-0.49797221016065996,-0.05607918810749,question_id_cluster_percentile_bootstrap,question_id,5000,5000,42
phase06-bootstrap-interval-v1,fully_supported_response,k5_sufficient_minus_insufficient,risk_difference,0.15096251266464034,0.95,-0.05707070707070705,0.3530634540401526,question_id_cluster_percentile_bootstrap,question_id,5000,5000,42
phase06-bootstrap-interval-v1,rouge_l_f1,k10_sufficient_minus_insufficient,sufficient_mean,0.22221684028014413,0.95,0.18925142201619347,0.25883538404855505,question_id_cluster_percentile_bootstrap,question_id,5000,5000,42
phase06-bootstrap-interval-v1,rouge_l_f1,k10_sufficient_minus_insufficient,insufficient_mean,0.1651253144800623,0.95,0.14283456078527487,0.18806843431586837,question_id_cluster_percentile_bootstrap,question_id,5000,5000,42
phase06-bootstrap-interval-v1,rouge_l_f1,k10_sufficient_minus_insufficient,mean_difference,0.05709152580008184,0.95,0.01594224415459346,0.10053784140529258,question_id_cluster_percentile_bootstrap,question_id,5000,5000,42
phase06-bootstrap-interval-v1,rouge_l_f1,k10_sufficient_minus_insufficient,sufficient_median,0.20618556701030927,0.95,0.1509433962264151,0.23376623376623376,question_id_cluster_percentile_bootstrap,question_id,5000,5000,42
