comparison_id,metric,effect_name,effect_value,ci_low,ci_high,direction,experimental_unit
A_rouge_l_f1_k10_minus_k5,rouge_l_f1,mean_difference,0.007129825807797376,-0.009735581327394442,0.024315599594506163,k10_minus_k5,question_id
A_rouge_l_f1_k10_minus_k5,rouge_l_f1,median_difference,0.0,-0.0038297245544262754,0.002686202686202649,k10_minus_k5,question_id
A_rouge_l_f1_k10_minus_k5,rouge_l_f1,matched_pairs_rank_biserial,0.04036557501904037,-0.20593614410680963,0.2784202569916854,k10_minus_k5,question_id
A_bertscore_f1_k10_minus_k5,bertscore_f1,mean_difference,0.00040371431393569775,-0.0031274288390459636,0.004014807788843516,k10_minus_k5,question_id
A_bertscore_f1_k10_minus_k5,bertscore_f1,median_difference,0.0,-0.001640915870666504,0.00020962953567504883,k10_minus_k5,question_id
A_bertscore_f1_k10_minus_k5,bertscore_f1,matched_pairs_rank_biserial,-0.009595959595959595,-0.2512170564343541,0.23394593525617607,k10_minus_k5,question_id
A_unsupported_claim_rate_k10_minus_k5,unsupported_claim_rate,mean_difference,-0.024179334655210393,-0.0987234706616729,0.05111414041271938,k10_minus_k5,question_id
A_unsupported_claim_rate_k10_minus_k5,unsupported_claim_rate,median_difference,0.0,0.0,0.0,k10_minus_k5,question_id
A_unsupported_claim_rate_k10_minus_k5,unsupported_claim_rate,matched_pairs_rank_biserial,-0.16704805491990846,-0.4611980170663377,0.12599791097541357,k10_minus_k5,question_id
A_mean_claim_support_score_k10_minus_k5,mean_claim_support_score,mean_difference,-0.03426896506473279,-0.08741570346990847,0.017998256200179304,k10_minus_k5,question_id
A_mean_claim_support_score_k10_minus_k5,mean_claim_support_score,median_difference,-0.0069626569747924805,-0.03446207940578461,0.0038730227388441563,k10_minus_k5,question_id
A_mean_claim_support_score_k10_minus_k5,mean_claim_support_score,matched_pairs_rank_biserial,-0.14085213032581453,-0.37272130576754775,0.09904821577753864,k10_minus_k5,question_id
A_output_token_count_k10_minus_k5,output_token_count,mean_difference,-1.9101123595505618,-7.168539325842697,3.539325842696629,k10_minus_k5,question_id
A_output_token_count_k10_minus_k5,output_token_count,median_difference,0.0,-3.0,0.0,k10_minus_k5,question_id
A_output_token_count_k10_minus_k5,output_token_count,matched_pairs_rank_biserial,-0.18905872888173772,-0.4423602497546346,0.061420685101041435,k10_minus_k5,question_id
B_k5_rouge_l_f1_sufficient_minus_insufficient,rouge_l_f1,mean_difference,0.050590020374314704,0.012579900056981827,0.08874499670168068,sufficient_minus_insufficient,question_id
B_k5_rouge_l_f1_sufficient_minus_insufficient,rouge_l_f1,median_difference,0.08546051890437559,0.025801801801801805,0.1125576713362973,sufficient_minus_insufficient,question_id
B_k5_rouge_l_f1_sufficient_minus_insufficient,rouge_l_f1,cliffs_delta,0.34397163120567376,0.11248647275259488,0.5610324214792298,sufficient_minus_insufficient,question_id
B_k5_bertscore_f1_sufficient_minus_insufficient,bertscore_f1,mean_difference,0.01547782532229125,0.005621447196650904,0.02522623808013207,sufficient_minus_insufficient,question_id
B_k5_bertscore_f1_sufficient_minus_insufficient,bertscore_f1,median_difference,0.021676331758499146,0.005192220211029053,0.03443469107151029,sufficient_minus_insufficient,question_id
B_k5_bertscore_f1_sufficient_minus_insufficient,bertscore_f1,cliffs_delta,0.3667679837892604,0.13880373425966133,0.5862828956357773,sufficient_minus_insufficient,question_id
B_k5_unsupported_claim_rate_sufficient_minus_insufficient,unsupported_claim_rate,mean_difference,-0.19822744700717165,-0.33673030763957074,-0.06097080403313877,sufficient_minus_insufficient,question_id
B_k5_unsupported_claim_rate_sufficient_minus_insufficient,unsupported_claim_rate,median_difference,-0.3666666666666667,-0.5,0.0,sufficient_minus_insufficient,question_id
B_k5_unsupported_claim_rate_sufficient_minus_insufficient,unsupported_claim_rate,cliffs_delta,-0.27912867274569403,-0.49797221016065996,-0.05607918810749,sufficient_minus_insufficient,question_id
B_k5_fully_supported_response_sufficient_minus_insufficient,fully_supported_response,risk_difference,0.15096251266464034,-0.05707070707070705,0.3530634540401526,sufficient_minus_insufficient,question_id
