schema_version,dataset_revision,question_id,provenance_partition,question_sha256,normalized_question_sha256,is_impossible,reference_status,gold_doc_ids_json,gold_evidence_analysis_status,split_group_id,split,split_seed,split_algorithm_version,component_manifest_sha256,split_frozen_at
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,DEV_Q000,DEV,63c20cd63a759e46cf6ccbc5d97fc7ff7b5d572341c95beaca6ead7ed0c5ccb4,56e25ab2836ee0faee995dfc99f1af68d0291f7f38dbb862db41587e359d05ca,false,available,"[""techqa-doc:corpus/swg24042191.txt""]",confirmed_attached_context,techqa-group:b388cadd2f52a846b4db86e8ed409d7dc1322c5ec1978b6ad499011747350e03,train,42,connected-component-lexicographic-milp-v1,be474a6b88da73da789620bef66aec6c2421294beedfa90eb1363be16f5b13e1,2026-08-18T09:20:02Z
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,DEV_Q001,DEV,d54ccea8edf222f777b086155e4528343521d5a6b04b2998d843d8a96f4c7620,a4533b5c8b96f6b53f26f0c397e4655b2d2fd0ace626b08bc81a9d3f928301fb,true,not_applicable_impossible,[],not_applicable_impossible,techqa-group:b533a692bf2b3ee890e445d43b723bd74083528b37eb704099f9fee76908be34,train,42,connected-component-lexicographic-milp-v1,be474a6b88da73da789620bef66aec6c2421294beedfa90eb1363be16f5b13e1,2026-08-18T09:20:02Z
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,DEV_Q002,DEV,eb7821507b38984e27d97542ea337eeec19df78e62b58ca08f4c1cc24e24a48a,cbafdc4acada838dd2a8d26f63e451231e55a5380e3000c53c6b59341c2bb296,false,available,"[""techqa-doc:corpus/swg21978390.txt""]",confirmed_attached_context,techqa-group:501b9312c9b449e21fba18ca10e7a07396c3725e733fc833f31e028a71a050a0,train,42,connected-component-lexicographic-milp-v1,be474a6b88da73da789620bef66aec6c2421294beedfa90eb1363be16f5b13e1,2026-08-18T09:20:02Z
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,DEV_Q003,DEV,d92c8b079e78919b90ae2da11cd2d2c4ff504035881201e715caf7b8e56b70bb,e9cc560baf991e9e15dd262cd49c8b045d3240572fe296ada713f4855b4cc605,true,not_applicable_impossible,[],not_applicable_impossible,techqa-group:5dc01d850adb985943070f3b16b38be473f297d043631ad6a93f34fa5979303a,train,42,connected-component-lexicographic-milp-v1,be474a6b88da73da789620bef66aec6c2421294beedfa90eb1363be16f5b13e1,2026-08-18T09:20:02Z
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,DEV_Q004,DEV,8487dd02c1a57f5721cd0e09ce18f44131ea55284625d20d944b9bfe4a0889b2,5ba682c03fed6c9dfc8811c7ea096433d45369a8b469d00fba33e5664a3252eb,true,not_applicable_impossible,[],not_applicable_impossible,techqa-group:fbaa258d7ad7d93c5a2a1d0fc1fe19592440dcf96a8572c0074a5bc0b8eec77b,train,42,connected-component-lexicographic-milp-v1,be474a6b88da73da789620bef66aec6c2421294beedfa90eb1363be16f5b13e1,2026-08-18T09:20:02Z
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,DEV_Q005,DEV,d86fa4d96f9e849638da0fcb367fec77a4168bf747d64f2688fcbb47fbdf4a3c,3722c3e47bd38bf9931450d4ef0e9151ed24f3316bb4623ac6f02738b34eaa62,true,not_applicable_impossible,[],not_applicable_impossible,techqa-group:6dea75a9e520f4eb5bbb79406c0d19721dfd0cfc4a63bcf4706f7dea5d9cab5f,train,42,connected-component-lexicographic-milp-v1,be474a6b88da73da789620bef66aec6c2421294beedfa90eb1363be16f5b13e1,2026-08-18T09:20:02Z
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,DEV_Q006,DEV,257b0426aa4d25dcd4c0999b69c8645df463c38d4436a4a90e97fc3add1dd3a4,ba612ca45ea5ad07f88fc2217474bed60d6fb396d56355355bf57aa7ef2c833c,true,not_applicable_impossible,[],not_applicable_impossible,techqa-group:cf3511c813f77fd8baf8297da5da1cd6d81713dbb850258a6f9428d3abd4bae1,train,42,connected-component-lexicographic-milp-v1,be474a6b88da73da789620bef66aec6c2421294beedfa90eb1363be16f5b13e1,2026-08-18T09:20:02Z
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,DEV_Q007,DEV,04f5fe586b84bdeb6eaf13f54a500ac0561b2533620b3c56d1068f0a443be6a1,08646f6b37105290ddbfd677825add236b157fe86e90d4df85f8d76f43fbc2d7,false,available,"[""techqa-doc:corpus/swg21625776.txt""]",confirmed_attached_context,techqa-group:ed6e0d790d3d207e5f750e9607012d339eddc8d497a9533e6571b064a4972011,train,42,connected-component-lexicographic-milp-v1,be474a6b88da73da789620bef66aec6c2421294beedfa90eb1363be16f5b13e1,2026-08-18T09:20:02Z
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,DEV_Q008,DEV,59fd98085290d4fe0bda7e46a7f1dfe2270340da39ff7031b91323436d8f9eef,d5397a50c41faefca92ca8c5014c130bee4bd89176036743a3d6e569b3a62e78,false,available,"[""techqa-doc:corpus/swg21412061.txt""]",confirmed_attached_context,techqa-group:11a582611ffa56d50b26c30d6cbe206a848e76e49587e887611dbdb609bd79c4,validation,42,connected-component-lexicographic-milp-v1,be474a6b88da73da789620bef66aec6c2421294beedfa90eb1363be16f5b13e1,2026-08-18T09:20:02Z
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,DEV_Q009,DEV,aa6a18d30fddb25a726c88a2179718924019e9607731a1a3be63b852bf48cd90,0e1b3eccb1d1b0a0d9dcba62709216f07923373257f4a8d68befe12a8afd5c24,true,not_applicable_impossible,[],not_applicable_impossible,techqa-group:63adaf920da3e50f7e8d6d0b93396403de9c57da30c9051437d145a1e66ed61a,train,42,connected-component-lexicographic-milp-v1,be474a6b88da73da789620bef66aec6c2421294beedfa90eb1363be16f5b13e1,2026-08-18T09:20:02Z
