schema_version,dataset_revision,response_id,source_id,official_split,task_type,source_name,model,temperature,quality,response_sha256,prompt_sha256,source_info_sha256,label_count,has_unsupported_span,implicit_true_count,due_to_null_count,label_types_json,primary_grounding_eligible
phase01-data-v1,c103204b9ce28d6bbad859304bf30de72b8ed8fe,0,15592,train,Summary,CNN/DM,gpt-4-0613,0.7,good,2a6da216750e0527240421aac8180d47abd16d5a2e1e2347b1bbb199616abfc3,2a12e5426232036e009536c5e5a0abb9f2be9cfe0a004cc9a870f1ca0d03f92f,bf6b37974114c0eb973711396ad5b1b810c489a6c13fadf913b6d92cdb880f24,0,false,0,0,[],false
phase01-data-v1,c103204b9ce28d6bbad859304bf30de72b8ed8fe,1,15592,train,Summary,CNN/DM,gpt-3.5-turbo-0613,0.7,good,d10287b0a0ecd2a866994fd24b0854024f1cb5a0b97bbe0b115e59d3016d042a,2a12e5426232036e009536c5e5a0abb9f2be9cfe0a004cc9a870f1ca0d03f92f,bf6b37974114c0eb973711396ad5b1b810c489a6c13fadf913b6d92cdb880f24,0,false,0,0,[],false
phase01-data-v1,c103204b9ce28d6bbad859304bf30de72b8ed8fe,2,15592,train,Summary,CNN/DM,mistral-7B-instruct,0.7,good,a439b4df2d802653d36ea499a6e096f12c33bdfa1b211d93d0af63cd51e42c12,2a12e5426232036e009536c5e5a0abb9f2be9cfe0a004cc9a870f1ca0d03f92f,bf6b37974114c0eb973711396ad5b1b810c489a6c13fadf913b6d92cdb880f24,3,true,0,0,"[""Evident Baseless Info"",""Evident Conflict""]",false
phase01-data-v1,c103204b9ce28d6bbad859304bf30de72b8ed8fe,3,15592,train,Summary,CNN/DM,llama-2-7b-chat,0.7,good,16e86cbfd61da3cc94139ed3f6c525eb456563fcf498e3c1d19f60ee2dc5bcdb,2a12e5426232036e009536c5e5a0abb9f2be9cfe0a004cc9a870f1ca0d03f92f,bf6b37974114c0eb973711396ad5b1b810c489a6c13fadf913b6d92cdb880f24,1,true,1,0,"[""Subtle Baseless Info""]",false
phase01-data-v1,c103204b9ce28d6bbad859304bf30de72b8ed8fe,4,15592,train,Summary,CNN/DM,llama-2-13b-chat,0.7,good,4085d8b747d9b0a6a801d1a1d4ca9987e7724984bfa1696d7214d6b5890f3e20,2a12e5426232036e009536c5e5a0abb9f2be9cfe0a004cc9a870f1ca0d03f92f,bf6b37974114c0eb973711396ad5b1b810c489a6c13fadf913b6d92cdb880f24,0,false,0,0,[],false
phase01-data-v1,c103204b9ce28d6bbad859304bf30de72b8ed8fe,5,15592,train,Summary,CNN/DM,llama-2-70b-chat,0.7,good,74ccb6cc178ca5bbb6ed6a13f6698fd71d520194213c29d7a1d26e552cfdd6e7,2a12e5426232036e009536c5e5a0abb9f2be9cfe0a004cc9a870f1ca0d03f92f,bf6b37974114c0eb973711396ad5b1b810c489a6c13fadf913b6d92cdb880f24,2,true,1,0,"[""Evident Conflict"",""Subtle Baseless Info""]",false
phase01-data-v1,c103204b9ce28d6bbad859304bf30de72b8ed8fe,6,15593,train,Summary,CNN/DM,gpt-4-0613,0.7,good,db66c53417312a295fc7adeef029fb5a7638a7cc33c4e0db265fbfa365cd2b95,12255ddda1a3935b47ba678f0652ee22388962ac3c302912445a3bd55adce949,cb2a1bf50da050afebc8ed146af6fac17c2313e3cd520ac3802084cc81d78622,0,false,0,0,[],false
phase01-data-v1,c103204b9ce28d6bbad859304bf30de72b8ed8fe,7,15593,train,Summary,CNN/DM,gpt-3.5-turbo-0613,0.7,good,65f05e80eb87217112540726a910f6dbabfee931daea1a59c954dad4c805cf5e,12255ddda1a3935b47ba678f0652ee22388962ac3c302912445a3bd55adce949,cb2a1bf50da050afebc8ed146af6fac17c2313e3cd520ac3802084cc81d78622,0,false,0,0,[],false
phase01-data-v1,c103204b9ce28d6bbad859304bf30de72b8ed8fe,8,15593,train,Summary,CNN/DM,mistral-7B-instruct,0.7,good,af7d9824c2eaa713115c9d0f2d3ed07480c7cef6b5abbc7a07b9614a70a8b15d,12255ddda1a3935b47ba678f0652ee22388962ac3c302912445a3bd55adce949,cb2a1bf50da050afebc8ed146af6fac17c2313e3cd520ac3802084cc81d78622,0,false,0,0,[],false
phase01-data-v1,c103204b9ce28d6bbad859304bf30de72b8ed8fe,9,15593,train,Summary,CNN/DM,llama-2-7b-chat,0.7,good,a5bc72ab55ea4a0424aa86c3e9728713b2a3bc8e839d97e3308859668759581a,12255ddda1a3935b47ba678f0652ee22388962ac3c302912445a3bd55adce949,cb2a1bf50da050afebc8ed146af6fac17c2313e3cd520ac3802084cc81d78622,0,false,0,0,[],false
